# GulfCyber IOCs - 2026-02-06 23:34 UTC
# value|type|source|threat
162.243.103.246|ip|feodotracker|Emotet
34.204.119.63|ip|feodotracker|QakBot
172.232.59.14|ip|feodotracker|QakBot
seha.org.sa|domain|gulfcyber_ransomware|Tengu
arabfalcons.com|domain|gulfcyber_ransomware|LockBit5
soeuae.ae|domain|gulfcyber_ransomware|LockBit5
aqm.com.sa|domain|gulfcyber_ransomware|Clop
aljomaihauto.com|domain|gulfcyber_ransomware|Clop
ajmanre.gov.ae|domain|gulfcyber_ransomware|Flocker
mttexpertises.com|domain|gulfcyber_ransomware|incransom
e.gov.ae|domain|gulfcyber_ransomware|flocker
lts.com.vn|domain|gulfcyber_ransomware|flocker
devimco.com|domain|gulfcyber_ransomware|metaencryptor
www.kcac.com|domain|gulfcyber_ransomware|blacksuit
trustgrp.ae|domain|gulfcyber_ransomware|flocker
sitro.com.au|domain|gulfcyber_ransomware|incransom
www.innsofaurora.com|domain|gulfcyber_ransomware|blacksuit
metromont.com|domain|gulfcyber_ransomware|blacksuit
s.com.vn|domain|gulfcyber_ransomware|flocker
www.iptelecom.at|domain|gulfcyber_ransomware|ciphbit
allstarflooring.com|domain|gulfcyber_ransomware|embargo
diyar.com|domain|gulfcyber_ransomware|lynx
www.davisdavisco.com|domain|gulfcyber_ransomware|incransom
nissi-beach.com|domain|gulfcyber_ransomware|incransom
flysaa.com|domain|gulfcyber_ransomware|incransom
www.colemanmaterials.com|domain|gulfcyber_ransomware|dragonforce
www.philsmithauto.com|domain|gulfcyber_ransomware|dragonforce
atlplasticsurgeon.com|domain|gulfcyber_ransomware|dragonforce
jtalleycorp.com|domain|gulfcyber_ransomware|dragonforce
southernavionics.com|domain|gulfcyber_ransomware|dragonforce
industrialdynamics.com|domain|gulfcyber_ransomware|dragonforce
www.dermatologysolutions.com|domain|gulfcyber_ransomware|dragonforce
net-move.com|domain|gulfcyber_ransomware|dragonforce
altara.com|domain|gulfcyber_ransomware|dragonforce
www.condista.com|domain|gulfcyber_ransomware|dragonforce
www.texlaenergy.com|domain|gulfcyber_ransomware|dragonforce
www.precisiontextiles-usa.com|domain|gulfcyber_ransomware|dragonforce
dac-law.com|domain|gulfcyber_ransomware|dragonforce
millercaggiano.com|domain|gulfcyber_ransomware|dragonforce
www.harrissteelco.com|domain|gulfcyber_ransomware|dragonforce
kraftkisarna.se|domain|gulfcyber_ransomware|dragonforce
pryor-morrow.com|domain|gulfcyber_ransomware|dragonforce
pratthomes.com|domain|gulfcyber_ransomware|dragonforce
www.setpointsystems.com|domain|gulfcyber_ransomware|dragonforce
www.irisid.com|domain|gulfcyber_ransomware|dragonforce
citrusmagic.com|domain|gulfcyber_ransomware|dragonforce
statesmanbiz.com|domain|gulfcyber_ransomware|dragonforce
hennessyfunds.com|domain|gulfcyber_ransomware|lockbit3
vzlom7may.omg|domain|gulfcyber_ransomware|lockbit3
ehlers-inc.com|domain|gulfcyber_ransomware|lockbit3
lan.hirevelocity.com|domain|gulfcyber_ransomware|lynx
cabinc.com|domain|gulfcyber_ransomware|lynx
valedolobo.com|domain|gulfcyber_ransomware|braincipher
iycsa.com.co|domain|gulfcyber_ransomware|braincipher
ddecor.com|domain|gulfcyber_ransomware|braincipher
pdcm.com|domain|gulfcyber_ransomware|lockbit3
kll-law.com|domain|gulfcyber_ransomware|lockbit3
arc-com.com|domain|gulfcyber_ransomware|lockbit3
southernagllc.com|domain|gulfcyber_ransomware|lynx
corporateflight.com|domain|gulfcyber_ransomware|lynx
shgcpa.com|domain|gulfcyber_ransomware|lynx
friscochamber.com|domain|gulfcyber_ransomware|lynx
greatplainstransport.com|domain|gulfcyber_ransomware|lynx
pay4freight.com|domain|gulfcyber_ransomware|lynx
